[2025-07-30 20:42:28,072] [ERROR] ❌ Crash in rotate_token: 401: Invalid or expired refresh token
Traceback (most recent call last):
  File "C:\Users\user\Documents\fastapi_project\auth\hybrid_auth.py", line 181, in rotate_token
    raise HTTPException(status_code=401, detail="Invalid or expired refresh token")
fastapi.exceptions.HTTPException: 401: Invalid or expired refresh token
[2025-07-30 20:53:41,065] [ERROR] ❌ JWT decode failed: Not enough segments
[2025-07-30 21:00:02,458] [ERROR] ❌ JWT decode failed: Not enough segments
[2025-07-30 21:30:43,500] [ERROR] ❌ Image not found: C:\Users\user\Documents\fastapi_project\uploads\images\does_not_exist.png
[2025-07-30 21:30:43,551] [ERROR] ❌ Battle log not found: nonexistent_logs\battle_log.txt
[2025-07-30 21:50:45,332] [ERROR] ❌ Image not found: C:\Users\user\Documents\fastapi_project\uploads\images\does_not_exist.png
[2025-07-30 21:50:45,361] [ERROR] ❌ Battle log not found: nonexistent_logs\battle_log.txt
[2025-07-30 22:19:49,448] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 1 not in team
[2025-07-30 22:19:49,531] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 999 not in team
[2025-07-30 22:30:20,709] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 1 not in team
[2025-07-30 22:30:20,754] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 999 not in team
[2025-07-30 22:30:28,791] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 1 not in team
[2025-07-30 22:30:28,958] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 999 not in team
[2025-07-30 22:39:50,235] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 1 not in team
[2025-07-30 22:39:50,297] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 999 not in team
[2025-07-30 22:44:30,941] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 1 not in team
[2025-07-30 22:44:31,006] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 999 not in team
[2025-07-30 22:51:39,205] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 1 not in team
[2025-07-30 22:51:39,257] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 999 not in team
[2025-07-30 22:54:05,373] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 1 not in team
[2025-07-30 22:54:05,680] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 999 not in team
[2025-07-30 22:58:11,055] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 999 not in team
[2025-07-30 23:01:44,723] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 999 not in team
[2025-07-30 23:04:17,715] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 999 not in team
[2025-07-30 23:08:08,947] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 999 not in team
[2025-07-30 23:22:37,220] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 999 not in team
[2025-07-30 23:25:02,134] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 999 not in team
[2025-07-30 23:40:40,871] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 999 not in team
[2025-07-31 00:24:51,169] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 999 not in team
[2025-07-31 00:54:03,940] [ERROR] ❌ Remove failed by {'username': 'ashketchum', 'role': 'trainer'} – ID 999 not in team
[2025-07-31 01:04:47,142] [ERROR] ❌ File 'corrupt.csv' is not valid UTF-8. Uploaded by professoroak
[2025-07-31 01:09:13,222] [ERROR] ❌ File 'corrupt.csv' is not valid UTF-8. Uploaded by professoroak
[2025-07-31 01:16:34,349] [ERROR] ❌ Upload failed: [Errno 2] No such file or directory: 'uploads\\images\\secure_pikachu.png'
[2025-07-31 01:16:34,689] [ERROR] ❌ Upload failed: 400: ❌ File type '.exe' not allowed. Must be CSV or image only.
[2025-07-31 01:16:34,757] [ERROR] ❌ Skipped file 'img1.png': [Errno 2] No such file or directory: 'uploads\\images\\img1.png'
[2025-07-31 01:16:34,757] [ERROR] ❌ Skipped file 'img2.jpg': [Errno 2] No such file or directory: 'uploads\\images\\img2.jpg'
[2025-07-31 01:16:34,757] [ERROR] ❌ No valid image files uploaded by professoroak
